property;value
forearmLeft;0.309948
upperarmLeft;0.32151
shoulderHalfLeft;0.131577
neck;0.0833339
shoulderHalfRight;0.18679
upperarmRight;0.260778
forearmRight;0.312093
shoulder;0.252735
upperBody;0.260445
hip;0.110636
lowerBody;0.364168
body;0.624579
lowerLegLeft;0.402298
upperLegLeft;0.475275
upperLegRight;0.49107
lowerLegRight;0.473601
forearmLeft;0.309984
upperarmLeft;0.321496
shoulderHalfLeft;0.131662
neck;0.0833693
shoulderHalfRight;0.186655
upperarmRight;0.260689
forearmRight;0.308377
shoulder;0.25275
upperBody;0.260515
hip;0.110663
lowerBody;0.364232
body;0.624713
lowerLegLeft;0.401024
upperLegLeft;0.476781
upperLegRight;0.49243
lowerLegRight;0.472532
forearmLeft;0.309713
upperarmLeft;0.3217
shoulderHalfLeft;0.131717
neck;0.0833815
shoulderHalfRight;0.186514
upperarmRight;0.260654
forearmRight;0.305216
shoulder;0.252678
upperBody;0.260539
hip;0.110674
lowerBody;0.364311
body;0.624816
lowerLegLeft;0.404648
upperLegLeft;0.477308
upperLegRight;0.492179
lowerLegRight;0.47642
forearmLeft;0.309357
upperarmLeft;0.3218
shoulderHalfLeft;0.131808
neck;0.083382
shoulderHalfRight;0.186309
upperarmRight;0.260753
forearmRight;0.309115
shoulder;0.252586
upperBody;0.260545
hip;0.110651
lowerBody;0.36431
body;0.624821
lowerLegLeft;0.407822
upperLegLeft;0.477473
upperLegRight;0.492175
lowerLegRight;0.479454
forearmLeft;0.308951
upperarmLeft;0.321984
shoulderHalfLeft;0.131975
neck;0.0834014
shoulderHalfRight;0.186254
upperarmRight;0.260571
forearmRight;0.303774
shoulder;0.252559
upperBody;0.260579
hip;0.110682
lowerBody;0.364358
body;0.624904
lowerLegLeft;0.364911
upperLegLeft;0.477185
upperLegRight;0.492069
lowerLegRight;0.440644
forearmLeft;0.30837
upperarmLeft;0.322324
shoulderHalfLeft;0.132103
neck;0.0834137
shoulderHalfRight;0.186172
upperarmRight;0.260286
forearmRight;0.305983
shoulder;0.252498
upperBody;0.260623
hip;0.110668
lowerBody;0.364384
body;0.624974
lowerLegLeft;0.364741
upperLegLeft;0.477214
upperLegRight;0.492502
lowerLegRight;0.440199
forearmLeft;0.308285
upperarmLeft;0.322407
shoulderHalfLeft;0.13208
neck;0.0834288
shoulderHalfRight;0.186142
upperarmRight;0.26013
forearmRight;0.30349
shoulder;0.252305
upperBody;0.260679
hip;0.110675
lowerBody;0.364479
body;0.625124
lowerLegLeft;0.364127
upperLegLeft;0.477039
upperLegRight;0.492296
lowerLegRight;0.439631
forearmLeft;0.308214
upperarmLeft;0.322432
shoulderHalfLeft;0.132068
neck;0.0834251
shoulderHalfRight;0.186151
upperarmRight;0.260111
forearmRight;0.302337
shoulder;0.252137
upperBody;0.260676
hip;0.110633
lowerBody;0.364538
body;0.625179
lowerLegLeft;0.364123
upperLegLeft;0.477094
upperLegRight;0.491985
lowerLegRight;0.439748
forearmLeft;0.308096
upperarmLeft;0.322607
shoulderHalfLeft;0.13191
neck;0.0834329
shoulderHalfRight;0.18617
upperarmRight;0.260016
forearmRight;0.311248
shoulder;0.252051
upperBody;0.260711
hip;0.110689
lowerBody;0.364622
body;0.625299
lowerLegLeft;0.413051
upperLegLeft;0.477048
upperLegRight;0.491857
lowerLegRight;0.484314
forearmLeft;0.307856
upperarmLeft;0.322509
shoulderHalfLeft;0.131979
neck;0.0834426
shoulderHalfRight;0.186247
upperarmRight;0.259842
forearmRight;0.311898
shoulder;0.252137
upperBody;0.260733
hip;0.110681
lowerBody;0.364652
body;0.625351
lowerLegLeft;0.360346
upperLegLeft;0.476972
upperLegRight;0.49156
lowerLegRight;0.434867
forearmLeft;0.307489
upperarmLeft;0.322762
shoulderHalfLeft;0.131922
neck;0.083451
shoulderHalfRight;0.186611
upperarmRight;0.259417
forearmRight;0.308389
shoulder;0.251903
upperBody;0.260784
hip;0.110609
lowerBody;0.364809
body;0.625557
lowerLegLeft;0.361909
upperLegLeft;0.476762
upperLegRight;0.4912
lowerLegRight;0.436188
forearmLeft;0.306688
upperarmLeft;0.323208
shoulderHalfLeft;0.131836
neck;0.0834584
shoulderHalfRight;0.186682
upperarmRight;0.259387
forearmRight;0.311366
shoulder;0.251658
upperBody;0.260818
hip;0.11061
lowerBody;0.364863
body;0.625646
lowerLegLeft;0.362085
upperLegLeft;0.476628
upperLegRight;0.491525
lowerLegRight;0.436063
forearmLeft;0.306657
upperarmLeft;0.323278
shoulderHalfLeft;0.131857
neck;0.0834659
shoulderHalfRight;0.186889
upperarmRight;0.259282
forearmRight;0.31287
shoulder;0.251806
upperBody;0.260843
hip;0.110593
lowerBody;0.364901
body;0.625708
lowerLegLeft;0.361767
upperLegLeft;0.476155
upperLegRight;0.491427
lowerLegRight;0.435933
forearmLeft;0.306794
upperarmLeft;0.323196
shoulderHalfLeft;0.131786
neck;0.0834528
shoulderHalfRight;0.186816
upperarmRight;0.259448
forearmRight;0.305538
shoulder;0.25176
upperBody;0.260818
hip;0.110573
lowerBody;0.36488
body;0.625662
lowerLegLeft;0.361071
upperLegLeft;0.476175
upperLegRight;0.491346
lowerLegRight;0.435556
forearmLeft;0.306696
upperarmLeft;0.323517
shoulderHalfLeft;0.131701
neck;0.0834658
shoulderHalfRight;0.186769
upperarmRight;0.259575
forearmRight;0.31066
shoulder;0.251541
upperBody;0.260857
hip;0.110503
lowerBody;0.364911
body;0.625733
lowerLegLeft;0.403977
upperLegLeft;0.476359
upperLegRight;0.491364
lowerLegRight;0.47586
forearmLeft;0.306893
upperarmLeft;0.32351
shoulderHalfLeft;0.131621
neck;0.0834654
shoulderHalfRight;0.186629
upperarmRight;0.259807
forearmRight;0.306677
shoulder;0.251521
upperBody;0.26086
hip;0.110449
lowerBody;0.364909
body;0.625733
lowerLegLeft;0.368107
upperLegLeft;0.4768
upperLegRight;0.491333
lowerLegRight;0.443913
forearmLeft;0.306453
upperarmLeft;0.323662
shoulderHalfLeft;0.131515
neck;0.0834702
shoulderHalfRight;0.186738
upperarmRight;0.259863
forearmRight;0.31081
shoulder;0.251576
upperBody;0.260879
hip;0.110469
lowerBody;0.364928
body;0.625771
lowerLegLeft;0.368452
upperLegLeft;0.475687
upperLegRight;0.491296
lowerLegRight;0.443314
forearmLeft;0.306494
upperarmLeft;0.324052
shoulderHalfLeft;0.131197
neck;0.0834624
shoulderHalfRight;0.186683
upperarmRight;0.260048
forearmRight;0.313841
shoulder;0.251189
upperBody;0.260862
hip;0.110485
lowerBody;0.36491
body;0.625736
lowerLegLeft;0.367919
upperLegLeft;0.475403
upperLegRight;0.491327
lowerLegRight;0.442415
forearmLeft;0.306445
upperarmLeft;0.324355
shoulderHalfLeft;0.131137
neck;0.0834636
shoulderHalfRight;0.18674
upperarmRight;0.260134
forearmRight;0.316414
shoulder;0.251204
upperBody;0.260869
hip;0.110421
lowerBody;0.364911
body;0.625744
lowerLegLeft;0.364002
upperLegLeft;0.475408
upperLegRight;0.491248
lowerLegRight;0.439916
forearmLeft;0.30627
upperarmLeft;0.324468
shoulderHalfLeft;0.13111
neck;0.0834836
shoulderHalfRight;0.185636
upperarmRight;0.259462
forearmRight;0.308455
shoulder;0.248904
upperBody;0.260932
hip;0.110538
lowerBody;0.365037
body;0.625933
lowerLegLeft;0.36269
upperLegLeft;0.475815
upperLegRight;0.491104
lowerLegRight;0.439287
forearmLeft;0.306485
upperarmLeft;0.32419
shoulderHalfLeft;0.131165
neck;0.0835076
shoulderHalfRight;0.184895
upperarmRight;0.259137
forearmRight;0.305837
shoulder;0.247648
upperBody;0.260996
hip;0.110622
lowerBody;0.365117
body;0.626076
