SpineBase;2017-10-04 08:51:18.009;0,3639311;0,07324392;2,300208;Tracked
SpineMid;2017-10-04 08:51:18.010;0,3587281;0,4041593;2,348719;Tracked
Neck;2017-10-04 08:51:18.011;0,3517182;0,7221374;2,383737;Tracked
Head;2017-10-04 08:51:18.011;0,3543182;0,8767576;2,369969;Tracked
ShoulderLeft;2017-10-04 08:51:18.012;0,1832114;0,5944759;2,397773Tracked
ElbowLeft;2017-10-04 08:51:18.013;-0,01074973;0,4744124;2,429111;Tracked
WristLeft;2017-10-04 08:51:18.013;-0,07198657;0,690968;2,420852;Tracked
HandLeft;2017-10-04 08:51:18.015;-0,06513324;0,779201;2,44895;Tracked
ShoulderRight;2017-10-04 08:51:18.015;0,5323661;0,5990439;2,309105;Tracked
ElbowRight;2017-10-04 08:51:18.016;0,7404557;0,5121362;2,266819;Tracked
WristRight;2017-10-04 08:51:18.017;0,6850548;0,7618978;2,245648;Tracked
HandRight;2017-10-04 08:51:18.017;0,6684723;0,8210677;2,284169;Tracked
HipLeft;2017-10-04 08:51:18.018;0,2809932;0,06825764;2,275913;Tracked
KneeLeft;2017-10-04 08:51:18.019;0,2359711;-0,3943986;2,268276;Tracked
AnkleLeft;2017-10-04 08:51:18.020;0,2026652;-0,7594858;2,240387;Tracked
FootLeft;2017-10-04 08:51:18.020;0,166171;-0,8308294;2,148998;Tracked
HipRight;2017-10-04 08:51:18.021;0,434214;0,07554803;2,245084;Tracked
KneeRight;2017-10-04 08:51:18.022;0,5040957;-0,369748;2,206225;Tracked
AnkleRight;2017-10-04 08:51:18.022;0,5461082;-0,7253473;2,162845;Tracked
FootRight;2017-10-04 08:51:18.023;0,5137306;-0,7513166;2,011131;Tracked
SpineShoulder;2017-10-04 08:51:18.023;0,3537661;0,6443589;2,377349;Tracked
HandTipLeft;2017-10-04 08:51:18.024;-0,06427427;0,859714;2,4784;Tracked
ThumbLeft;2017-10-04 08:51:18.025;-0,009001423;0,7465174;2,383688;Tracked
HandTipRight;2017-10-04 08:51:18.026;0,651446;0,8898703;2,302062;Tracked
ThumbRight;2017-10-04 08:51:18.026;0,6942555;0,8541445;2,266375;Tracked
