property;statistic;value
forearmLeft;lowerWhisker;0.246803
forearmLeft;lowerQuartile;0.275458
forearmLeft;median;0.295364
forearmLeft;upperQuartile;0.306364
forearmLeft;upperWhisker;0.340806
forearmLeft;minValue;0.246803
forearmLeft;maxValue;0.340806
forearmLeft;amountDataPoints;440
forearmLeft;amountOutliers;0
forearmLeft;sum;128.555
forearmLeft;mean;0.292172
forearmLeft;quartileDistance;0.030906
upperarmLeft;lowerWhisker;0.259214
upperarmLeft;lowerQuartile;0.291166
upperarmLeft;median;0.312431
upperarmLeft;upperQuartile;0.325688
upperarmLeft;upperWhisker;0.340548
upperarmLeft;minValue;0.259214
upperarmLeft;maxValue;0.340548
upperarmLeft;amountDataPoints;440
upperarmLeft;amountOutliers;0
upperarmLeft;sum;136.046
upperarmLeft;mean;0.309194
upperarmLeft;quartileDistance;0.0345224
shoulderHalfLeft;lowerWhisker;0.114663
shoulderHalfLeft;lowerQuartile;0.132349
shoulderHalfLeft;median;0.13764
shoulderHalfLeft;upperQuartile;0.150988
shoulderHalfLeft;upperWhisker;0.174975
shoulderHalfLeft;minValue;0.114663
shoulderHalfLeft;maxValue;0.194635
shoulderHalfLeft;amountDataPoints;440
shoulderHalfLeft;amountOutliers;7
shoulderHalfLeft;sum;62.1349
shoulderHalfLeft;mean;0.141216
shoulderHalfLeft;quartileDistance;0.018639
neck;lowerWhisker;0.0824447
neck;lowerQuartile;0.0834368
neck;median;0.0838022
neck;upperQuartile;0.0841815
neck;upperWhisker;0.0848991
neck;minValue;0.0824447
neck;maxValue;0.0848991
neck;amountDataPoints;440
neck;amountOutliers;0
neck;sum;36.8559
neck;mean;0.0837633
neck;quartileDistance;0.0007447
shoulderHalfRight;lowerWhisker;0.138208
shoulderHalfRight;lowerQuartile;0.1602
shoulderHalfRight;median;0.167984
shoulderHalfRight;upperQuartile;0.175873
shoulderHalfRight;upperWhisker;0.199276
shoulderHalfRight;minValue;0.120536
shoulderHalfRight;maxValue;0.24504
shoulderHalfRight;amountDataPoints;440
shoulderHalfRight;amountOutliers;45
shoulderHalfRight;sum;73.074
shoulderHalfRight;mean;0.166077
shoulderHalfRight;quartileDistance;0.0156729
upperarmRight;lowerWhisker;0.25403
upperarmRight;lowerQuartile;0.265704
upperarmRight;median;0.282368
upperarmRight;upperQuartile;0.304549
upperarmRight;upperWhisker;0.339413
upperarmRight;minValue;0.25403
upperarmRight;maxValue;0.339413
upperarmRight;amountDataPoints;440
upperarmRight;amountOutliers;0
upperarmRight;sum;126.14
upperarmRight;mean;0.286682
upperarmRight;quartileDistance;0.0388452
forearmRight;lowerWhisker;0.249707
forearmRight;lowerQuartile;0.253801
forearmRight;median;0.282942
forearmRight;upperQuartile;0.294093
forearmRight;upperWhisker;0.34047
forearmRight;minValue;0.249707
forearmRight;maxValue;0.34047
forearmRight;amountDataPoints;440
forearmRight;amountOutliers;0
forearmRight;sum;122.93
forearmRight;mean;0.279386
forearmRight;quartileDistance;0.0402927
shoulder;lowerWhisker;0.187224
shoulder;lowerQuartile;0.225449
shoulder;median;0.245047
shoulder;upperQuartile;0.26751
shoulder;upperWhisker;0.309194
shoulder;minValue;0.187224
shoulder;maxValue;0.365156
shoulder;amountDataPoints;440
shoulder;amountOutliers;6
shoulder;sum;109.154
shoulder;mean;0.248077
shoulder;quartileDistance;0.0420608
upperBody;lowerWhisker;0.258152
upperBody;lowerQuartile;0.261068
upperBody;median;0.262131
upperBody;upperQuartile;0.26361
upperBody;upperWhisker;0.265122
upperBody;minValue;0.258152
upperBody;maxValue;0.265122
upperBody;amountDataPoints;440
upperBody;amountOutliers;0
upperBody;sum;115.364
upperBody;mean;0.26219
upperBody;quartileDistance;0.00254202
hip;lowerWhisker;0.115424
hip;lowerQuartile;0.121546
hip;median;0.124239
hip;upperQuartile;0.125673
hip;upperWhisker;0.130173
hip;minValue;0.114948
hip;maxValue;0.130173
hip;amountDataPoints;440
hip;amountOutliers;4
hip;sum;54.2981
hip;mean;0.123405
hip;quartileDistance;0.00412652
lowerBody;lowerWhisker;0.360868
lowerBody;lowerQuartile;0.365506
lowerBody;median;0.36717
lowerBody;upperQuartile;0.369504
lowerBody;upperWhisker;0.37102
lowerBody;minValue;0.360868
lowerBody;maxValue;0.37102
lowerBody;amountDataPoints;440
lowerBody;amountOutliers;0
lowerBody;sum;161.598
lowerBody;mean;0.367268
lowerBody;quartileDistance;0.00399718
body;lowerWhisker;0.619592
body;lowerQuartile;0.626398
body;median;0.629171
body;upperQuartile;0.63318
body;upperWhisker;0.635742
body;minValue;0.619592
body;maxValue;0.635742
body;amountDataPoints;440
body;amountOutliers;0
body;sum;276.942
body;mean;0.629414
body;quartileDistance;0.00678241
lowerLegLeft;lowerWhisker;0.299802
lowerLegLeft;lowerQuartile;0.307137
lowerLegLeft;median;0.315017
lowerLegLeft;upperQuartile;0.330891
lowerLegLeft;upperWhisker;0.363218
lowerLegLeft;minValue;0.299802
lowerLegLeft;maxValue;0.402469
lowerLegLeft;amountDataPoints;440
lowerLegLeft;amountOutliers;50
lowerLegLeft;sum;143.677
lowerLegLeft;mean;0.326539
lowerLegLeft;quartileDistance;0.0237546
upperLegLeft;lowerWhisker;0.432014
upperLegLeft;lowerQuartile;0.47089
upperLegLeft;median;0.484254
upperLegLeft;upperQuartile;0.497318
upperLegLeft;upperWhisker;0.520806
upperLegLeft;minValue;0.401154
upperLegLeft;maxValue;0.520806
upperLegLeft;amountDataPoints;440
upperLegLeft;amountOutliers;34
upperLegLeft;sum;211.018
upperLegLeft;mean;0.479587
upperLegLeft;quartileDistance;0.026428
upperLegRight;lowerWhisker;0.385119
upperLegRight;lowerQuartile;0.434484
upperLegRight;median;0.461797
upperLegRight;upperQuartile;0.475407
upperLegRight;upperWhisker;0.486035
upperLegRight;minValue;0.385119
upperLegRight;maxValue;0.486035
upperLegRight;amountDataPoints;440
upperLegRight;amountOutliers;0
upperLegRight;sum;200.022
upperLegRight;mean;0.454595
upperLegRight;quartileDistance;0.0409235
lowerLegRight;lowerWhisker;0.380191
lowerLegRight;lowerQuartile;0.396567
lowerLegRight;median;0.407207
lowerLegRight;upperQuartile;0.539656
lowerLegRight;upperWhisker;0.753552
lowerLegRight;minValue;0.380191
lowerLegRight;maxValue;0.79464
lowerLegRight;amountDataPoints;440
lowerLegRight;amountOutliers;16
lowerLegRight;sum;209.436
lowerLegRight;mean;0.475992
lowerLegRight;quartileDistance;0.143089
