property;statistic;value
forearmLeft;lowerWhisker;0.282335
forearmLeft;lowerQuartile;0.288882
forearmLeft;median;0.291136
forearmLeft;upperQuartile;0.293359
forearmLeft;upperWhisker;0.300041
forearmLeft;minValue;0.263879
forearmLeft;maxValue;0.309984
forearmLeft;amountDataPoints;1441
forearmLeft;amountOutliers;311
forearmLeft;sum;421.681
forearmLeft;mean;0.292631
forearmLeft;quartileDistance;0.00447634
upperarmLeft;lowerWhisker;0.31208
upperarmLeft;lowerQuartile;0.318259
upperarmLeft;median;0.319467
upperarmLeft;upperQuartile;0.322641
upperarmLeft;upperWhisker;0.329213
upperarmLeft;minValue;0.2975
upperarmLeft;maxValue;0.332497
upperarmLeft;amountDataPoints;1441
upperarmLeft;amountOutliers;284
upperarmLeft;sum;463.274
upperarmLeft;mean;0.321495
upperarmLeft;quartileDistance;0.00438192
shoulderHalfLeft;lowerWhisker;0.125347
shoulderHalfLeft;lowerQuartile;0.131786
shoulderHalfLeft;median;0.13486
shoulderHalfLeft;upperQuartile;0.136187
shoulderHalfLeft;upperWhisker;0.13896
shoulderHalfLeft;minValue;0.125347
shoulderHalfLeft;maxValue;0.13896
shoulderHalfLeft;amountDataPoints;1441
shoulderHalfLeft;amountOutliers;0
shoulderHalfLeft;sum;192.863
shoulderHalfLeft;mean;0.13384
shoulderHalfLeft;quartileDistance;0.00440155
neck;lowerWhisker;0.0814874
neck;lowerQuartile;0.0822187
neck;median;0.0827369
neck;upperQuartile;0.0831571
neck;upperWhisker;0.0836548
neck;minValue;0.0814874
neck;maxValue;0.0836548
neck;amountDataPoints;1441
neck;amountOutliers;0
neck;sum;119.137
neck;mean;0.0826766
neck;quartileDistance;0.000938334
shoulderHalfRight;lowerWhisker;0.170029
shoulderHalfRight;lowerQuartile;0.17347
shoulderHalfRight;median;0.18189
shoulderHalfRight;upperQuartile;0.187039
shoulderHalfRight;upperWhisker;0.195058
shoulderHalfRight;minValue;0.170029
shoulderHalfRight;maxValue;0.195058
shoulderHalfRight;amountDataPoints;1441
shoulderHalfRight;amountOutliers;0
shoulderHalfRight;sum;260.728
shoulderHalfRight;mean;0.180936
shoulderHalfRight;quartileDistance;0.0135695
upperarmRight;lowerWhisker;0.256489
upperarmRight;lowerQuartile;0.263877
upperarmRight;median;0.266352
upperarmRight;upperQuartile;0.268829
upperarmRight;upperWhisker;0.276122
upperarmRight;minValue;0.253207
upperarmRight;maxValue;0.280591
upperarmRight;amountDataPoints;1441
upperarmRight;amountOutliers;254
upperarmRight;sum;381.831
upperarmRight;mean;0.264976
