property;statistic;value
forearmLeft;lowerWhisker;0,254004
forearmLeft;lowerQuartile;0,295465
forearmLeft;median;0,316812
forearmLeft;upperQuartile;0,333026
forearmLeft;upperWhisker;0,345479
forearmLeft;minValue;0,254004
forearmLeft;maxValue;0,345479
forearmLeft;amountDataPoints;326
forearmLeft;amountOutliers;0
forearmLeft;sum;101,808
forearmLeft;mean;0,312295
forearmLeft;quartileDistance;0,0375614
upperarmLeft;lowerWhisker;0,301671
upperarmLeft;lowerQuartile;0,322225
upperarmLeft;median;0,333666
upperarmLeft;upperQuartile;0,336504
upperarmLeft;upperWhisker;0,352237
upperarmLeft;minValue;0,263072
upperarmLeft;maxValue;0,352237
upperarmLeft;amountDataPoints;326
upperarmLeft;amountOutliers;29
upperarmLeft;sum;106,534
upperarmLeft;mean;0,32679
upperarmLeft;quartileDistance;0,0142795
shoulderHalfLeft;lowerWhisker;0,118337
shoulderHalfLeft;lowerQuartile;0,130605
shoulderHalfLeft;median;0,13587
shoulderHalfLeft;upperQuartile;0,147559
shoulderHalfLeft;upperWhisker;0,172371
shoulderHalfLeft;minValue;0,0635618
shoulderHalfLeft;maxValue;0,241053
shoulderHalfLeft;amountDataPoints;326
shoulderHalfLeft;amountOutliers;37
shoulderHalfLeft;sum;46,0997
shoulderHalfLeft;mean;0,14141
shoulderHalfLeft;quartileDistance;0,0169549
neck;lowerWhisker;0,0819575
neck;lowerQuartile;0,0831146
neck;median;0,0835882
neck;upperQuartile;0,0845582
neck;upperWhisker;0,0867212
neck;minValue;0,0819575
neck;maxValue;0,101879
neck;amountDataPoints;326
neck;amountOutliers;34
neck;sum;27,5982
neck;mean;0,0846572
neck;quartileDistance;0,00144354
shoulderHalfRight;lowerWhisker;0,119468
shoulderHalfRight;lowerQuartile;0,146485
shoulderHalfRight;median;0,162257
shoulderHalfRight;upperQuartile;0,180724
shoulderHalfRight;upperWhisker;0,229283
shoulderHalfRight;minValue;0,0633126
shoulderHalfRight;maxValue;0,279693
shoulderHalfRight;amountDataPoints;326
shoulderHalfRight;amountOutliers;12
shoulderHalfRight;sum;54,4155
shoulderHalfRight;mean;0,166919
shoulderHalfRight;quartileDistance;0,0342387
upperarmRight;lowerWhisker;0,255746
upperarmRight;lowerQuartile;0,27939
upperarmRight;median;0,299452
upperarmRight;upperQuartile;0,308101
upperarmRight;upperWhisker;0,348173
upperarmRight;minValue;0,255746
upperarmRight;maxValue;0,348173
upperarmRight;amountDataPoints;326
upperarmRight;amountOutliers;0
upperarmRight;sum;96,2713
upperarmRight;mean;0,295311
upperarmRight;quartileDistance;0,028711
forearmRight;lowerWhisker;0,253685
forearmRight;lowerQuartile;0,26028
forearmRight;median;0,271924
forearmRight;upperQuartile;0,305508
forearmRight;upperWhisker;0,347767
forearmRight;minValue;0,253685
forearmRight;maxValue;0,347767
forearmRight;amountDataPoints;326
forearmRight;amountOutliers;0
forearmRight;sum;92,1641
forearmRight;mean;0,282712
forearmRight;quartileDistance;0,0452278
shoulder;lowerWhisker;0,162546
shoulder;lowerQuartile;0,206979
shoulder;median;0,222932
shoulder;upperQuartile;0,241199
shoulder;upperWhisker;0,287933
shoulder;minValue;0,0670385
shoulder;maxValue;0,327781
shoulder;amountDataPoints;326
shoulder;amountOutliers;39
shoulder;sum;73,4699
shoulder;mean;0,225368
shoulder;quartileDistance;0,0342207
upperBody;lowerWhisker;0,256597
upperBody;lowerQuartile;0,260495
upperBody;median;0,262582
upperBody;upperQuartile;0,265599
upperBody;upperWhisker;0,273239
upperBody;minValue;0,256597
upperBody;maxValue;0,317277
upperBody;amountDataPoints;326
upperBody;amountOutliers;28
upperBody;sum;86,5675
upperBody;mean;0,265544
upperBody;quartileDistance;0,00510454
hip;lowerWhisker;0,108756
hip;lowerQuartile;0,114574
hip;median;0,116338
hip;upperQuartile;0,118502
hip;upperWhisker;0,121826
hip;minValue;0,0349932
hip;maxValue;0,121826
hip;amountDataPoints;326
hip;amountOutliers;35
hip;sum;36,7693
hip;mean;0,112789
hip;quartileDistance;0,00392733
lowerBody;lowerWhisker;0,359406
lowerBody;lowerQuartile;0,365953
