property;statistic;value
forearmLeft;lowerWhisker;0,212313
forearmLeft;lowerQuartile;0,233868
forearmLeft;median;0,241069
forearmLeft;upperQuartile;0,248358
forearmLeft;upperWhisker;0,269688
forearmLeft;minValue;0,211331
forearmLeft;maxValue;0,284725
forearmLeft;amountDataPoints;492
forearmLeft;amountOutliers;13
forearmLeft;sum;118,248
forearmLeft;mean;0,240341
forearmLeft;quartileDistance;0,0144901
upperarmLeft;lowerWhisker;0,213632
upperarmLeft;lowerQuartile;0,246016
upperarmLeft;median;0,26037
upperarmLeft;upperQuartile;0,268304
upperarmLeft;upperWhisker;0,28648
upperarmLeft;minValue;0,205227
upperarmLeft;maxValue;0,28648
upperarmLeft;amountDataPoints;492
upperarmLeft;amountOutliers;16
upperarmLeft;sum;125,814
upperarmLeft;mean;0,25572
upperarmLeft;quartileDistance;0,0222879
shoulderHalfLeft;lowerWhisker;0,154766
shoulderHalfLeft;lowerQuartile;0,168753
shoulderHalfLeft;median;0,172249
shoulderHalfLeft;upperQuartile;0,17871
shoulderHalfLeft;upperWhisker;0,192873
shoulderHalfLeft;minValue;0,153141
shoulderHalfLeft;maxValue;0,200453
shoulderHalfLeft;amountDataPoints;492
shoulderHalfLeft;amountOutliers;9
shoulderHalfLeft;sum;85,2556
shoulderHalfLeft;mean;0,173284
shoulderHalfLeft;quartileDistance;0,00995632
neck;lowerWhisker;0,0761517
neck;lowerQuartile;0,0772366
neck;median;0,0775266
neck;upperQuartile;0,0779687
neck;upperWhisker;0,0790533
neck;minValue;0,0754486
neck;maxValue;0,0808473
neck;amountDataPoints;492
neck;amountOutliers;63
neck;sum;38,1569
neck;mean;0,0775546
neck;quartileDistance;0,000732124
shoulderHalfRight;lowerWhisker;0,176679
shoulderHalfRight;lowerQuartile;0,191768
shoulderHalfRight;median;0,197066
shoulderHalfRight;upperQuartile;0,20199
shoulderHalfRight;upperWhisker;0,216144
shoulderHalfRight;minValue;0,16103
shoulderHalfRight;maxValue;0,225006
shoulderHalfRight;amountDataPoints;492
shoulderHalfRight;amountOutliers;18
shoulderHalfRight;sum;96,5284
shoulderHalfRight;mean;0,196196
shoulderHalfRight;quartileDistance;0,0102224
upperarmRight;lowerWhisker;0,198724
upperarmRight;lowerQuartile;0,211451
upperarmRight;median;0,225311
upperarmRight;upperQuartile;0,236951
upperarmRight;upperWhisker;0,266071
upperarmRight;minValue;0,198724
upperarmRight;maxValue;0,266071
upperarmRight;amountDataPoints;492
upperarmRight;amountOutliers;0
upperarmRight;sum;110,791
upperarmRight;mean;0,225185
upperarmRight;quartileDistance;0,0255005
forearmRight;lowerWhisker;0,202101
forearmRight;lowerQuartile;0,226033
forearmRight;median;0,235108
forearmRight;upperQuartile;0,243588
forearmRight;upperWhisker;0,269831
forearmRight;minValue;0,202101
forearmRight;maxValue;0,283041
forearmRight;amountDataPoints;492
forearmRight;amountOutliers;33
forearmRight;sum;115,682
forearmRight;mean;0,235126
forearmRight;quartileDistance;0,0175548
shoulder;lowerWhisker;0,322011
shoulder;lowerQuartile;0,341797
shoulder;median;0,348777
shoulder;upperQuartile;0,355423
shoulder;upperWhisker;0,375849
shoulder;minValue;0,302032
shoulder;maxValue;0,375849
shoulder;amountDataPoints;492
shoulder;amountOutliers;20
shoulder;sum;171,26
shoulder;mean;0,348089
shoulder;quartileDistance;0,0136257
upperBody;lowerWhisker;0,237384
upperBody;lowerQuartile;0,240913
upperBody;median;0,241889
upperBody;upperQuartile;0,243334
upperBody;upperWhisker;0,246881
upperBody;minValue;0,235408
upperBody;maxValue;0,252628
upperBody;amountDataPoints;492
upperBody;amountOutliers;55
upperBody;sum;119,058
upperBody;mean;0,241989
upperBody;quartileDistance;0,00242065
hip;lowerWhisker;0,143089
hip;lowerQuartile;0,152003
hip;median;0,155287
hip;upperQuartile;0,158092
hip;upperWhisker;0,163091
hip;minValue;0,131654
hip;maxValue;0,163091
hip;amountDataPoints;492
hip;amountOutliers;11
hip;sum;76,2425
hip;mean;0,154964
hip;quartileDistance;0,00608881
lowerBody;lowerWhisker;0,330588
lowerBody;lowerQuartile;0,335987
lowerBody;median;0,3375
lowerBody;upperQuartile;0,339592
lowerBody;upperWhisker;0,344888
lowerBody;minValue;0,32825
lowerBody;maxValue;0,353872
lowerBody;amountDataPoints;492
lowerBody;amountOutliers;32
lowerBody;sum;166,056
lowerBody;mean;0,337512
lowerBody;quartileDistance;0,00360531
body;lowerWhisker;0,567758
body;lowerQuartile;0,57684
body;median;0,57932
body;upperQuartile;0,58296
body;upperWhisker;0,592053
body;minValue;0,563613
body;maxValue;0,606457
body;amountDataPoints;492
body;amountOutliers;35
body;sum;285,094
body;mean;0,579459
body;quartileDistance;0,00611991
lowerLegLeft;lowerWhisker;0,258183
lowerLegLeft;lowerQuartile;0,287152
lowerLegLeft;median;0,29859
lowerLegLeft;upperQuartile;0,314227
lowerLegLeft;upperWhisker;0,3494
lowerLegLeft;minValue;0,258183
lowerLegLeft;maxValue;0,3494
lowerLegLeft;amountDataPoints;492
lowerLegLeft;amountOutliers;0
lowerLegLeft;sum;147,555
lowerLegLeft;mean;0,299909
lowerLegLeft;quartileDistance;0,0270754
upperLegLeft;lowerWhisker;0,36758
upperLegLeft;lowerQuartile;0,398608
upperLegLeft;median;0,412018
upperLegLeft;upperQuartile;0,421055
upperLegLeft;upperWhisker;0,451071
upperLegLeft;minValue;0,36758
upperLegLeft;maxValue;0,451071
upperLegLeft;amountDataPoints;492
upperLegLeft;amountOutliers;0
upperLegLeft;sum;202,642
upperLegLeft;mean;0,411874
upperLegLeft;quartileDistance;0,0224466
upperLegRight;lowerWhisker;0,355966
upperLegRight;lowerQuartile;0,378053
upperLegRight;median;0,387426
upperLegRight;upperQuartile;0,393152
upperLegRight;upperWhisker;0,414643
upperLegRight;minValue;0,355966
upperLegRight;maxValue;0,420385
upperLegRight;amountDataPoints;492
upperLegRight;amountOutliers;12
upperLegRight;sum;190,212
upperLegRight;mean;0,386611
upperLegRight;quartileDistance;0,0150985
lowerLegRight;lowerWhisker;0,346221
lowerLegRight;lowerQuartile;0,38567
lowerLegRight;median;0,399311
lowerLegRight;upperQuartile;0,414155
lowerLegRight;upperWhisker;0,454894
lowerLegRight;minValue;0,329565
lowerLegRight;maxValue;0,552715
lowerLegRight;amountDataPoints;492
lowerLegRight;amountOutliers;33
lowerLegRight;sum;197,918
lowerLegRight;mean;0,402272
lowerLegRight;quartileDistance;0,0284845
