property;statistic;value
forearmLeft;lowerWhisker;0,196586
forearmLeft;lowerQuartile;0,213766
forearmLeft;median;0,230406
forearmLeft;upperQuartile;0,238134
forearmLeft;upperWhisker;0,274082
forearmLeft;minValue;0,196586
forearmLeft;maxValue;0,275332
forearmLeft;amountDataPoints;227
forearmLeft;amountOutliers;1
forearmLeft;sum;51,5991
forearmLeft;mean;0,227309
forearmLeft;quartileDistance;0,0243677
upperarmLeft;lowerWhisker;0,193231
upperarmLeft;lowerQuartile;0,238712
upperarmLeft;median;0,26428
upperarmLeft;upperQuartile;0,275707
upperarmLeft;upperWhisker;0,285547
upperarmLeft;minValue;0,193231
upperarmLeft;maxValue;0,285547
upperarmLeft;amountDataPoints;227
upperarmLeft;amountOutliers;0
upperarmLeft;sum;58,3874
upperarmLeft;mean;0,257213
upperarmLeft;quartileDistance;0,0369942
shoulderHalfLeft;lowerWhisker;0,156622
shoulderHalfLeft;lowerQuartile;0,171898
shoulderHalfLeft;median;0,178421
shoulderHalfLeft;upperQuartile;0,19702
shoulderHalfLeft;upperWhisker;0,231608
shoulderHalfLeft;minValue;0,156622
shoulderHalfLeft;maxValue;0,242385
shoulderHalfLeft;amountDataPoints;227
shoulderHalfLeft;amountOutliers;2
shoulderHalfLeft;sum;41,8341
shoulderHalfLeft;mean;0,184291
shoulderHalfLeft;quartileDistance;0,0251214
neck;lowerWhisker;0,0746629
neck;lowerQuartile;0,0764399
neck;median;0,0773943
neck;upperQuartile;0,0780371
neck;upperWhisker;0,0797565
neck;minValue;0,0746629
neck;maxValue;0,0817375
neck;amountDataPoints;227
neck;amountOutliers;1
neck;sum;17,5185
neck;mean;0,0771742
neck;quartileDistance;0,00159726
shoulderHalfRight;lowerWhisker;0,178753
shoulderHalfRight;lowerQuartile;0,193598
shoulderHalfRight;median;0,197884
shoulderHalfRight;upperQuartile;0,2038
shoulderHalfRight;upperWhisker;0,217048
shoulderHalfRight;minValue;0,175833
shoulderHalfRight;maxValue;0,228134
shoulderHalfRight;amountDataPoints;227
shoulderHalfRight;amountOutliers;5
shoulderHalfRight;sum;45,063
shoulderHalfRight;mean;0,198515
shoulderHalfRight;quartileDistance;0,0102021
upperarmRight;lowerWhisker;0,194722
upperarmRight;lowerQuartile;0,206562
upperarmRight;median;0,222721
upperarmRight;upperQuartile;0,244408
upperarmRight;upperWhisker;0,288874
upperarmRight;minValue;0,194722
upperarmRight;maxValue;0,288874
upperarmRight;amountDataPoints;227
upperarmRight;amountOutliers;0
upperarmRight;sum;51,8725
upperarmRight;mean;0,228513
upperarmRight;quartileDistance;0,0378459
forearmRight;lowerWhisker;0,198367
forearmRight;lowerQuartile;0,223369
forearmRight;median;0,23605
forearmRight;upperQuartile;0,253535
forearmRight;upperWhisker;0,282713
forearmRight;minValue;0,198367
forearmRight;maxValue;0,282713
forearmRight;amountDataPoints;227
forearmRight;amountOutliers;0
forearmRight;sum;53,9956
forearmRight;mean;0,237866
forearmRight;quartileDistance;0,0301664
shoulder;lowerWhisker;0,328142
shoulder;lowerQuartile;0,350164
shoulder;median;0,362688
shoulder;upperQuartile;0,374327
shoulder;upperWhisker;0,406451
shoulder;minValue;0,328142
shoulder;maxValue;0,411188
shoulder;amountDataPoints;227
shoulder;amountOutliers;1
shoulder;sum;82,4538
shoulder;mean;0,363233
shoulder;quartileDistance;0,0241632
upperBody;lowerWhisker;0,233746
upperBody;lowerQuartile;0,239173
upperBody;median;0,242583
upperBody;upperQuartile;0,244107
upperBody;upperWhisker;0,25031
upperBody;minValue;0,233746
upperBody;maxValue;0,258098
upperBody;amountDataPoints;227
upperBody;amountOutliers;2
upperBody;sum;54,8589
upperBody;mean;0,241669
upperBody;quartileDistance;0,0049331
hip;lowerWhisker;0,146056
hip;lowerQuartile;0,154998
hip;median;0,157748
hip;upperQuartile;0,161236
hip;upperWhisker;0,170468
hip;minValue;0,122927
hip;maxValue;0,175101
hip;amountDataPoints;227
hip;amountOutliers;18
hip;sum;35,5884
hip;mean;0,156777
hip;quartileDistance;0,00623751
lowerBody;lowerWhisker;0,327885
lowerBody;lowerQuartile;0,335706
lowerBody;median;0,340112
lowerBody;upperQuartile;0,342534
lowerBody;upperWhisker;0,351645
lowerBody;minValue;0,327885
lowerBody;maxValue;0,36344
lowerBody;amountDataPoints;227
lowerBody;amountOutliers;2
lowerBody;sum;76,9633
lowerBody;mean;0,339045
lowerBody;quartileDistance;0,00682768
body;lowerWhisker;0,561583
body;lowerQuartile;0,574941
body;median;0,582828
body;upperQuartile;0,586404
body;upperWhisker;0,60192
body;minValue;0,561583
body;maxValue;0,621518
body;amountDataPoints;227
body;amountOutliers;2
body;sum;131,811
body;mean;0,580664
body;quartileDistance;0,0114623
lowerLegLeft;lowerWhisker;0,259101
lowerLegLeft;lowerQuartile;0,28451
lowerLegLeft;median;0,304159
lowerLegLeft;upperQuartile;0,315103
lowerLegLeft;upperWhisker;0,34829
lowerLegLeft;minValue;0,259101
lowerLegLeft;maxValue;0,34829
lowerLegLeft;amountDataPoints;227
lowerLegLeft;amountOutliers;0
lowerLegLeft;sum;67,899
lowerLegLeft;mean;0,299114
lowerLegLeft;quartileDistance;0,0305929
upperLegLeft;lowerWhisker;0,373288
upperLegLeft;lowerQuartile;0,387865
upperLegLeft;median;0,394232
upperLegLeft;upperQuartile;0,418215
upperLegLeft;upperWhisker;0,452255
upperLegLeft;minValue;0,373288
upperLegLeft;maxValue;0,466297
upperLegLeft;amountDataPoints;227
upperLegLeft;amountOutliers;1
upperLegLeft;sum;91,0291
