property,statistic,value
forearmLeft,amountDataPoints,183
forearmLeft,amountOutliers,0
forearmLeft,minValue,0.224818
forearmLeft,maxValue,0.311637
forearmLeft,sum,48.29
forearmLeft,median,0.261802
forearmLeft,mean,0.26388
forearmLeft,lowerQuartile,0.247381
forearmLeft,upperQuartile,0.278871
forearmLeft,quartileDistance,0.0314903
forearmLeft,lowerWhisker,0.224818
forearmLeft,upperWhisker,0.311637
upperarmLeft,amountDataPoints,183
upperarmLeft,amountOutliers,12
upperarmLeft,minValue,0.228652
upperarmLeft,maxValue,0.260712
upperarmLeft,sum,43.548
upperarmLeft,median,0.235008
upperarmLeft,mean,0.237967
upperarmLeft,lowerQuartile,0.231101
upperarmLeft,upperQuartile,0.240875
upperarmLeft,quartileDistance,0.00977439
upperarmLeft,lowerWhisker,0.229138
upperarmLeft,upperWhisker,0.260712
shoulderHalfLeft,amountDataPoints,183
shoulderHalfLeft,amountOutliers,2
shoulderHalfLeft,minValue,0.176322
shoulderHalfLeft,maxValue,0.187424
shoulderHalfLeft,sum,33.5872
shoulderHalfLeft,median,0.184513
shoulderHalfLeft,mean,0.183537
shoulderHalfLeft,lowerQuartile,0.181819
shoulderHalfLeft,upperQuartile,0.184904
shoulderHalfLeft,quartileDistance,0.00308469
shoulderHalfLeft,lowerWhisker,0.176322
shoulderHalfLeft,upperWhisker,0.177092
neck,amountDataPoints,183
neck,amountOutliers,0
neck,minValue,0.0771907
neck,maxValue,0.0780722
neck,sum,14.2107
neck,median,0.0777085
neck,mean,0.0776538
neck,lowerQuartile,0.0774098
neck,upperQuartile,0.0778292
neck,quartileDistance,0.00041943
neck,lowerWhisker,0.0771907
neck,upperWhisker,0.0780722
shoulderHalfRight,amountDataPoints,183
shoulderHalfRight,amountOutliers,16
shoulderHalfRight,minValue,0.1712
shoulderHalfRight,maxValue,0.197019
shoulderHalfRight,sum,33.9096
shoulderHalfRight,median,0.185616
shoulderHalfRight,mean,0.185298
shoulderHalfRight,lowerQuartile,0.182798
shoulderHalfRight,upperQuartile,0.189007
shoulderHalfRight,quartileDistance,0.00620869
shoulderHalfRight,lowerWhisker,0.1712
shoulderHalfRight,upperWhisker,0.173405
upperarmRight,amountDataPoints,183
upperarmRight,amountOutliers,0
upperarmRight,minValue,0.229107
