property;statistic;value
forearmLeft;lowerWhisker;0.217267
forearmLeft;lowerQuartile;0.248476
forearmLeft;median;0.268798
forearmLeft;upperQuartile;0.291037
forearmLeft;upperWhisker;0.29674
forearmLeft;minValue;0.217267
forearmLeft;maxValue;0.29674
forearmLeft;amountDataPoints;461
forearmLeft;amountOutliers;0
forearmLeft;sum;122.053
forearmLeft;mean;0.264758
forearmLeft;quartileDistance;0.0425616
upperarmLeft;lowerWhisker;0.212068
upperarmLeft;lowerQuartile;0.248697
upperarmLeft;median;0.263839
upperarmLeft;upperQuartile;0.278857
upperarmLeft;upperWhisker;0.295439
upperarmLeft;minValue;0.212068
upperarmLeft;maxValue;0.295439
upperarmLeft;amountDataPoints;461
upperarmLeft;amountOutliers;0
upperarmLeft;sum;121.457
upperarmLeft;mean;0.263465
upperarmLeft;quartileDistance;0.0301605
shoulderHalfLeft;lowerWhisker;0.159333
shoulderHalfLeft;lowerQuartile;0.176707
shoulderHalfLeft;median;0.182472
shoulderHalfLeft;upperQuartile;0.188945
shoulderHalfLeft;upperWhisker;0.206124
shoulderHalfLeft;minValue;0.15802
shoulderHalfLeft;maxValue;0.210892
shoulderHalfLeft;amountDataPoints;461
shoulderHalfLeft;amountOutliers;16
shoulderHalfLeft;sum;84.339
shoulderHalfLeft;mean;0.182948
shoulderHalfLeft;quartileDistance;0.0122373
neck;lowerWhisker;0.0801824
neck;lowerQuartile;0.0819036
neck;median;0.0826006
neck;upperQuartile;0.0831863
neck;upperWhisker;0.084357
neck;minValue;0.0782693
neck;maxValue;0.084357
neck;amountDataPoints;461
neck;amountOutliers;15
neck;sum;37.9983
neck;mean;0.0824258
neck;quartileDistance;0.00128265
shoulderHalfRight;lowerWhisker;0.184449
shoulderHalfRight;lowerQuartile;0.199684
shoulderHalfRight;median;0.205294
shoulderHalfRight;upperQuartile;0.210234
shoulderHalfRight;upperWhisker;0.225543
shoulderHalfRight;minValue;0.159317
shoulderHalfRight;maxValue;0.239852
shoulderHalfRight;amountDataPoints;461
shoulderHalfRight;amountOutliers;17
shoulderHalfRight;sum;93.9403
shoulderHalfRight;mean;0.203775
shoulderHalfRight;quartileDistance;0.0105504
upperarmRight;lowerWhisker;0.212773
upperarmRight;lowerQuartile;0.217999
upperarmRight;median;0.224959
upperarmRight;upperQuartile;0.238128
upperarmRight;upperWhisker;0.267432
upperarmRight;minValue;0.212773
upperarmRight;maxValue;0.292548
upperarmRight;amountDataPoints;461
upperarmRight;amountOutliers;15
upperarmRight;sum;105.945
upperarmRight;mean;0.229815
upperarmRight;quartileDistance;0.0201293
forearmRight;lowerWhisker;0.188767
forearmRight;lowerQuartile;0.219365
forearmRight;median;0.252806
forearmRight;upperQuartile;0.29256
forearmRight;upperWhisker;0.296503
forearmRight;minValue;0.188767
forearmRight;maxValue;0.296503
forearmRight;amountDataPoints;461
forearmRight;amountOutliers;0
forearmRight;sum;117.579
forearmRight;mean;0.255051
forearmRight;quartileDistance;0.0731945
shoulder;lowerWhisker;0.291296
shoulder;lowerQuartile;0.31071
shoulder;median;0.316015
shoulder;upperQuartile;0.323707
shoulder;upperWhisker;0.342395
shoulder;minValue;0.262695
shoulder;maxValue;0.346519
shoulder;amountDataPoints;461
shoulder;amountOutliers;16
shoulder;sum;146.046
shoulder;mean;0.316802
shoulder;quartileDistance;0.0129969
upperBody;lowerWhisker;0.249185
upperBody;lowerQuartile;0.255391
upperBody;median;0.25779
upperBody;upperQuartile;0.259667
upperBody;upperWhisker;0.262844
upperBody;minValue;0.243998
upperBody;maxValue;0.262844
upperBody;amountDataPoints;461
upperBody;amountOutliers;14
upperBody;sum;118.557
upperBody;mean;0.257175
upperBody;quartileDistance;0.00427529
hip;lowerWhisker;0.135709
hip;lowerQuartile;0.138189
hip;median;0.141225
hip;upperQuartile;0.145026
hip;upperWhisker;0.153045
hip;minValue;0.135709
hip;maxValue;0.153045
hip;amountDataPoints;461
hip;amountOutliers;0
hip;sum;65.482
hip;mean;0.142043
hip;quartileDistance;0.0068371
lowerBody;lowerWhisker;0.347102
lowerBody;lowerQuartile;0.355465
lowerBody;median;0.359276
lowerBody;upperQuartile;0.36175
lowerBody;upperWhisker;0.366575
lowerBody;minValue;0.339089
lowerBody;maxValue;0.366575
lowerBody;amountDataPoints;461
lowerBody;amountOutliers;14
lowerBody;sum;165.106
lowerBody;mean;0.358148
lowerBody;quartileDistance;0.00628459
body;lowerWhisker;0.596234
body;lowerQuartile;0.610812
body;median;0.616992
body;upperQuartile;0.621402
body;upperWhisker;0.629038
body;minValue;0.583045
body;maxValue;0.629038
body;amountDataPoints;461
body;amountOutliers;14
body;sum;283.643
body;mean;0.615277
body;quartileDistance;0.0105901
lowerLegLeft;lowerWhisker;0.426511
lowerLegLeft;lowerQuartile;0.447172
lowerLegLeft;median;0.46036
lowerLegLeft;upperQuartile;0.460945
lowerLegLeft;upperWhisker;0.463431
lowerLegLeft;minValue;0.372541
lowerLegLeft;maxValue;0.463431
lowerLegLeft;amountDataPoints;461
lowerLegLeft;amountOutliers;40
lowerLegLeft;sum;208.32
lowerLegLeft;mean;0.451887
lowerLegLeft;quartileDistance;0.0137736
upperLegLeft;lowerWhisker;0.462995
upperLegLeft;lowerQuartile;0.50878
upperLegLeft;median;0.519462
upperLegLeft;upperQuartile;0.557771
upperLegLeft;upperWhisker;0.609009
upperLegLeft;minValue;0.462995
upperLegLeft;maxValue;0.609009
upperLegLeft;amountDataPoints;461
upperLegLeft;amountOutliers;0
upperLegLeft;sum;243.621
upperLegLeft;mean;0.528462
upperLegLeft;quartileDistance;0.0489902
upperLegRight;lowerWhisker;0.490045
upperLegRight;lowerQuartile;0.526319
upperLegRight;median;0.547184
upperLegRight;upperQuartile;0.552223
upperLegRight;upperWhisker;0.566317
upperLegRight;minValue;0.448715
upperLegRight;maxValue;0.566317
upperLegRight;amountDataPoints;461
upperLegRight;amountOutliers;62
upperLegRight;sum;246.581
upperLegRight;mean;0.534883
upperLegRight;quartileDistance;0.0259045
lowerLegRight;lowerWhisker;0.516991
lowerLegRight;lowerQuartile;0.547542
lowerLegRight;median;0.556856
lowerLegRight;upperQuartile;0.576657
lowerLegRight;upperWhisker;0.618609
lowerLegRight;minValue;0.417795
lowerLegRight;maxValue;1.05616
lowerLegRight;amountDataPoints;461
lowerLegRight;amountOutliers;62
lowerLegRight;sum;264.855
lowerLegRight;mean;0.574522
lowerLegRight;quartileDistance;0.0291144
