property;statistic;value
forearmLeft;lowerWhisker;0.216604
forearmLeft;lowerQuartile;0.220662
forearmLeft;median;0.222455
forearmLeft;upperQuartile;0.293528
forearmLeft;upperWhisker;0.298534
forearmLeft;minValue;0.216604
forearmLeft;maxValue;0.298534
forearmLeft;amountDataPoints;450
forearmLeft;amountOutliers;0
forearmLeft;sum;113.281
forearmLeft;mean;0.251736
forearmLeft;quartileDistance;0.0728662
upperarmLeft;lowerWhisker;0.254951
upperarmLeft;lowerQuartile;0.271554
upperarmLeft;median;0.277625
upperarmLeft;upperQuartile;0.293555
upperarmLeft;upperWhisker;0.297136
upperarmLeft;minValue;0.254951
upperarmLeft;maxValue;0.297136
upperarmLeft;amountDataPoints;450
upperarmLeft;amountOutliers;0
upperarmLeft;sum;126.451
upperarmLeft;mean;0.281002
upperarmLeft;quartileDistance;0.0220017
shoulderHalfLeft;lowerWhisker;0.165132
shoulderHalfLeft;lowerQuartile;0.171884
shoulderHalfLeft;median;0.174315
shoulderHalfLeft;upperQuartile;0.17674
shoulderHalfLeft;upperWhisker;0.183992
shoulderHalfLeft;minValue;0.161275
shoulderHalfLeft;maxValue;0.185225
shoulderHalfLeft;amountDataPoints;450
shoulderHalfLeft;amountOutliers;24
shoulderHalfLeft;sum;78.5243
shoulderHalfLeft;mean;0.174498
shoulderHalfLeft;quartileDistance;0.00485554
neck;lowerWhisker;0.0843115
neck;lowerQuartile;0.0845808
neck;median;0.0847593
neck;upperQuartile;0.0853141
neck;upperWhisker;0.0863888
neck;minValue;0.0843115
neck;maxValue;0.0871085
neck;amountDataPoints;450
neck;amountOutliers;33
neck;sum;38.2791
neck;mean;0.0850646
neck;quartileDistance;0.000733316
shoulderHalfRight;lowerWhisker;0.200796
shoulderHalfRight;lowerQuartile;0.208353
shoulderHalfRight;median;0.210067
shoulderHalfRight;upperQuartile;0.213792
shoulderHalfRight;upperWhisker;0.221921
shoulderHalfRight;minValue;0.189715
shoulderHalfRight;maxValue;0.235178
shoulderHalfRight;amountDataPoints;450
shoulderHalfRight;amountOutliers;56
shoulderHalfRight;sum;94.9275
shoulderHalfRight;mean;0.21095
shoulderHalfRight;quartileDistance;0.00543867
upperarmRight;lowerWhisker;0.210433
upperarmRight;lowerQuartile;0.217749
upperarmRight;median;0.222382
upperarmRight;upperQuartile;0.226379
upperarmRight;upperWhisker;0.23892
upperarmRight;minValue;0.210433
upperarmRight;maxValue;0.281063
upperarmRight;amountDataPoints;450
upperarmRight;amountOutliers;25
upperarmRight;sum;100.809
upperarmRight;mean;0.224019
upperarmRight;quartileDistance;0.00863081
forearmRight;lowerWhisker;0.212982
forearmRight;lowerQuartile;0.218608
forearmRight;median;0.293078
forearmRight;upperQuartile;0.294579
forearmRight;upperWhisker;0.29702
forearmRight;minValue;0.212982
forearmRight;maxValue;0.29702
forearmRight;amountDataPoints;450
forearmRight;amountOutliers;0
forearmRight;sum;122.147
forearmRight;mean;0.271439
forearmRight;quartileDistance;0.0759714
shoulder;lowerWhisker;0.29125
shoulder;lowerQuartile;0.296814
shoulder;median;0.298177
shoulder;upperQuartile;0.300525
shoulder;upperWhisker;0.305553
shoulder;minValue;0.285842
shoulder;maxValue;0.323025
shoulder;amountDataPoints;450
shoulder;amountOutliers;93
shoulder;sum;134.437
shoulder;mean;0.298749
shoulder;quartileDistance;0.00371036
upperBody;lowerWhisker;0.262795
upperBody;lowerQuartile;0.263491
upperBody;median;0.264049
upperBody;upperQuartile;0.265665
upperBody;upperWhisker;0.268878
upperBody;minValue;0.262795
upperBody;maxValue;0.270617
upperBody;amountDataPoints;450
upperBody;amountOutliers;41
upperBody;sum;119.204
upperBody;mean;0.264897
upperBody;quartileDistance;0.00217363
hip;lowerWhisker;0.138412
hip;lowerQuartile;0.140692
hip;median;0.141315
hip;upperQuartile;0.142245
hip;upperWhisker;0.143364
hip;minValue;0.137668
hip;maxValue;0.143364
hip;amountDataPoints;450
hip;amountOutliers;10
hip;sum;63.6051
hip;mean;0.141345
