property;statistic;value
forearmLeft;lowerWhisker;0.203967
forearmLeft;lowerQuartile;0.218195
forearmLeft;median;0.233674
forearmLeft;upperQuartile;0.262295
forearmLeft;upperWhisker;0.28797
forearmLeft;minValue;0.203967
forearmLeft;maxValue;0.28797
forearmLeft;amountDataPoints;123
forearmLeft;amountOutliers;0
forearmLeft;sum;29.5059
forearmLeft;mean;0.239886
forearmLeft;quartileDistance;0.0441002
upperarmLeft;lowerWhisker;0.263682
upperarmLeft;lowerQuartile;0.272101
upperarmLeft;median;0.275443
upperarmLeft;upperQuartile;0.279311
upperarmLeft;upperWhisker;0.287856
upperarmLeft;minValue;0.24099
upperarmLeft;maxValue;0.287856
upperarmLeft;amountDataPoints;123
upperarmLeft;amountOutliers;11
upperarmLeft;sum;33.6794
upperarmLeft;mean;0.273816
upperarmLeft;quartileDistance;0.0072104
shoulderHalfLeft;lowerWhisker;0.193065
shoulderHalfLeft;lowerQuartile;0.203759
shoulderHalfLeft;median;0.207911
shoulderHalfLeft;upperQuartile;0.2125
shoulderHalfLeft;upperWhisker;0.223584
shoulderHalfLeft;minValue;0.193065
shoulderHalfLeft;maxValue;0.22875
shoulderHalfLeft;amountDataPoints;123
shoulderHalfLeft;amountOutliers;1
shoulderHalfLeft;sum;25.5197
shoulderHalfLeft;mean;0.207477
shoulderHalfLeft;quartileDistance;0.00874071
neck;lowerWhisker;0.0826745
neck;lowerQuartile;0.083725
neck;median;0.0844145
neck;upperQuartile;0.0853068
neck;upperWhisker;0.0860224
neck;minValue;0.0826745
neck;maxValue;0.0860224
neck;amountDataPoints;123
neck;amountOutliers;0
neck;sum;10.3754
neck;mean;0.0843529
neck;quartileDistance;0.00158184
shoulderHalfRight;lowerWhisker;0.199807
shoulderHalfRight;lowerQuartile;0.209807
shoulderHalfRight;median;0.213969
shoulderHalfRight;upperQuartile;0.216966
shoulderHalfRight;upperWhisker;0.22682
shoulderHalfRight;minValue;0.196412
shoulderHalfRight;maxValue;0.228273
shoulderHalfRight;amountDataPoints;123
shoulderHalfRight;amountOutliers;4
shoulderHalfRight;sum;26.1807
shoulderHalfRight;mean;0.212851
shoulderHalfRight;quartileDistance;0.00715902
upperarmRight;lowerWhisker;0.218025
upperarmRight;lowerQuartile;0.233115
upperarmRight;median;0.247861
upperarmRight;upperQuartile;0.257197
upperarmRight;upperWhisker;0.290984
upperarmRight;minValue;0.218025
upperarmRight;maxValue;0.293591
upperarmRight;amountDataPoints;123
upperarmRight;amountOutliers;1
upperarmRight;sum;30.3288
upperarmRight;mean;0.246575
upperarmRight;quartileDistance;0.0240824
forearmRight;lowerWhisker;0.203531
forearmRight;lowerQuartile;0.208819
forearmRight;median;0.220702
forearmRight;upperQuartile;0.239842
forearmRight;upperWhisker;0.285731
forearmRight;minValue;0.203531
forearmRight;maxValue;0.289378
forearmRight;amountDataPoints;123
forearmRight;amountOutliers;3
forearmRight;sum;27.9501
forearmRight;mean;0.227236
forearmRight;quartileDistance;0.0310226
shoulder;lowerWhisker;0.339945
shoulder;lowerQuartile;0.357531
shoulder;median;0.364077
shoulder;upperQuartile;0.378738
shoulder;upperWhisker;0.39552
shoulder;minValue;0.339945
shoulder;maxValue;0.39552
shoulder;amountDataPoints;123
shoulder;amountOutliers;0
shoulder;sum;45.0546
shoulder;mean;0.366297
shoulder;quartileDistance;0.0212066
upperBody;lowerWhisker;0.258012
upperBody;lowerQuartile;0.26152
upperBody;median;0.264321
upperBody;upperQuartile;0.267636
upperBody;upperWhisker;0.26987
upperBody;minValue;0.258012
upperBody;maxValue;0.26987
upperBody;amountDataPoints;123
upperBody;amountOutliers;0
upperBody;sum;32.4973
upperBody;mean;0.264206
upperBody;quartileDistance;0.00611597
hip;lowerWhisker;0.160371
hip;lowerQuartile;0.167792
hip;median;0.170888
hip;upperQuartile;0.17505
hip;upperWhisker;0.178414
hip;minValue;0.160371
hip;maxValue;0.178414
hip;amountDataPoints;123
hip;amountOutliers;0
hip;sum;21.0288
hip;mean;0.170966
hip;quartileDistance;0.00725777
lowerBody;lowerWhisker;0.359865
lowerBody;lowerQuartile;0.366015
lowerBody;median;0.370311
lowerBody;upperQuartile;0.376125
lowerBody;upperWhisker;0.380218
lowerBody;minValue;0.359865
lowerBody;maxValue;0.380218
lowerBody;amountDataPoints;123
lowerBody;amountOutliers;0
lowerBody;sum;45.5473
lowerBody;mean;0.370304
lowerBody;quartileDistance;0.0101099
body;lowerWhisker;0.617829
body;lowerQuartile;0.627137
body;median;0.634588
body;upperQuartile;0.643835
body;upperWhisker;0.649633
body;minValue;0.617829
body;maxValue;0.649633
body;amountDataPoints;123
body;amountOutliers;0
body;sum;78.0405
body;mean;0.634476
body;quartileDistance;0.0166986
lowerLegLeft;lowerWhisker;0.368564
lowerLegLeft;lowerQuartile;0.380335
lowerLegLeft;median;0.426622
lowerLegLeft;upperQuartile;0.456626
lowerLegLeft;upperWhisker;0.499479
lowerLegLeft;minValue;0.368564
lowerLegLeft;maxValue;0.499479
lowerLegLeft;amountDataPoints;123
lowerLegLeft;amountOutliers;0
lowerLegLeft;sum;51.7462
lowerLegLeft;mean;0.420701
lowerLegLeft;quartileDistance;0.0762914
upperLegLeft;lowerWhisker;0.453933
upperLegLeft;lowerQuartile;0.473191
upperLegLeft;median;0.48422
upperLegLeft;upperQuartile;0.495129
upperLegLeft;upperWhisker;0.510966
upperLegLeft;minValue;0.453933
upperLegLeft;maxValue;0.585435
upperLegLeft;amountDataPoints;123
upperLegLeft;amountOutliers;10
upperLegLeft;sum;60.0359
upperLegLeft;mean;0.488097
upperLegLeft;quartileDistance;0.0219385
upperLegRight;lowerWhisker;0.446005
upperLegRight;lowerQuartile;0.473392
upperLegRight;median;0.508233
upperLegRight;upperQuartile;0.521555
upperLegRight;upperWhisker;0.570944
upperLegRight;minValue;0.446005
upperLegRight;maxValue;0.570944
upperLegRight;amountDataPoints;123
upperLegRight;amountOutliers;0
upperLegRight;sum;61.5292
upperLegRight;mean;0.500238
upperLegRight;quartileDistance;0.0481634
lowerLegRight;lowerWhisker;0.414748
lowerLegRight;lowerQuartile;0.481481
lowerLegRight;median;0.502353
lowerLegRight;upperQuartile;0.527868
lowerLegRight;upperWhisker;0.561735
lowerLegRight;minValue;0.401872
lowerLegRight;maxValue;0.561735
lowerLegRight;amountDataPoints;123
lowerLegRight;amountOutliers;2
lowerLegRight;sum;61.617
lowerLegRight;mean;0.500951
lowerLegRight;quartileDistance;0.0463874
